"Genes","BxPC3_B1","PanC1_A1","BxPC3_B2","PanC1_D1","PanC1_B2","PanC1_C2","BxPC3_C2","BxPC3_A2","BxPC3_A1","PanC1_D2","PanC1_B1","PanC1_C1","PanC1_A2","BxPC3_D1","BxPC3_D2","BxPC3_C1"
"UBR1",13.5941518324052,13.8325525745789,14.47891303842,13.8912126276632,13.8752105002112,14.7673256768216,13.2215810139029,11.6849121625202,12.7917197853284,14.0887521775471,14.349409167167,13.2643852246939,13.0412693664839,13.3829805340114,12.6926176445177,14.0145060916862
"ACTN4",20.6817149765405,21.5541906509385,20.6258607733158,21.5353459039763,21.7964089080149,21.3190463880231,20.737576500986,20.0181538967202,20.6208974407093,21.7907547936978,21.6510639374158,21.6999377741344,21.4396724127022,19.3423858109576,20.1349522658982,20.069919413684
"KIF14",13.3764935778234,13.8941283428299,12.9042429103138,13.2181492649755,13.7727797996175,13.2960950331562,12.4499038968576,13.1824928930028,12.9527459533125,12.8565585335041,13.8673743336345,13.6804244052265,14.6558831343855,14.0920349404646,12.6655577251168,13.118854477039
"EIF2B3",15.8082089676983,16.4745990934671,14.8526185757219,15.2173220146255,15.4994951658124,16.0104014884382,14.3379800870875,15.2621183442573,15.7116478135894,16.0091770926821,15.6314924380666,15.5250117123385,15.3280733001988,14.7369771678952,14.9329247657183,15.3948327023644
"SON",16.4817334108171,15.7625090820722,16.8535940063731,15.7811908539936,14.4279221719493,15.4571255322014,16.0908619848252,15.5640394330783,16.4727979976865,14.8437244906894,15.0753087518034,15.2034406190532,15.0369473812566,16.5998547804454,15.6534552026668,16.2114223272856
"MSH3",14.3988253701704,15.4837152971518,12.6373281668871,15.2207373968778,13.7516610196261,13.2564139943809,14.1081820508318,15.3634693005556,14.7605923504633,13.4367653924333,15.7441595379488,17.669966487096,15.1594501975392,18.1725811810819,13.2704295068942,13.8614030413057
"UTP20",14.0518192707263,15.2632788460814,14.2864907792465,15.3076208852346,14.8939420184952,14.7389952260074,15.0342157076643,13.1752344076885,13.8918173974343,17.3743301212484,17.2682407699978,15.471127156961,14.8923519070609,14.6889047022611,14.5600444062442,16.9112349273698
"IPO4",16.4533689881961,16.2667411423512,16.2016500281872,16.0023460658206,16.4173135100853,15.5357889323408,15.3207165975532,15.6596362928186,14.6018725039238,16.4256742024642,15.1326800739711,16.2369835036603,15.8399187201646,16.39561157956,16.1740014454389,15.8832116947337
"MTFR1L",11.4773490613021,12.9947875997831,11.3323234417752,12.4173898785914,12.3819661804181,12.8090218014008,11.9688873977993,11.9068133795199,11.8560949139109,12.2011673709534,13.0690167024398,12.4605357198324,12.5408405482705,11.4594109609248,10.7419713463464,11.8728231140864
"PSMD3",17.9436952462888,17.4901611677501,17.9434530443437,17.3923146202485,17.3156753676594,17.0557674783809,17.9190407230395,17.7694283379878,18.261182942424,16.9607494304747,16.8389218815058,16.9849789597624,17.2166544901525,17.3754172842848,17.7136919150793,17.5883499791755
"CNDP2",15.1017844169634,18.1737851011647,14.4045517434847,16.9726642335509,17.9923012574284,17.9645877656197,15.4066486517226,16.3875648996464,16.4543916389359,17.7297622765768,17.7678665092521,18.3109821839906,17.4294860632375,14.8071635563195,15.3205368146437,14.6827854061312
"SPTBN1",17.2657626293051,17.989063224891,17.7377627322433,17.1816653334534,17.6924174975886,17.508237806179,17.4407794551698,17.7058757506873,17.2588680358729,17.6239922586332,17.2739015627301,17.1692012784418,17.1610689851337,17.1427745723065,16.7484833245764,17.5002280446776
"DHX9",18.09703361663,18.1376251627401,18.7146378679038,18.7877827808055,18.2332175543501,18.0624550405419,18.5922984549693,18.5162711628988,18.326515425749,18.285453466555,18.4496829093499,17.9951617123752,18.1014029253502,18.5461770878343,19.1105802483004,19.249971069716
"VCP",18.7745013692926,19.2910778817121,18.7867959041051,18.9069959346561,19.2141820360236,18.9216106609494,19.3194716788569,18.714005539982,19.0777810384848,19.0672025257394,18.8640939433751,19.4050314590215,19.4997142519807,18.9562163939541,18.7049380611802,19.1147982529061
